damage_level,quantity_level,chance_level,damage,quantity,chance,total_cost,product,pareto_frontier
1,1,1,2.0,1.0,5.0,0.0,0.1,True
2,1,1,3.0,1.0,5.0,5.0,0.15000000000000002,True
2,1,2,3.0,1.0,6.5,13.0,0.195,True
3,1,1,5.0,1.0,5.0,16.0,0.25,True
3,1,2,5.0,1.0,6.5,24.0,0.325,True
4,1,1,9.0,1.0,5.0,33.0,0.45,True
4,1,2,9.0,1.0,6.5,41.0,0.585,True
3,2,2,5.0,2.0,6.5,54.0,0.65,True
5,1,1,14.0,1.0,5.0,56.0,0.7000000000000001,True
4,2,1,9.0,2.0,5.0,63.0,0.9,True
5,1,2,14.0,1.0,6.5,64.0,0.91,True
4,2,2,9.0,2.0,6.5,71.0,1.17,True
5,2,1,14.0,2.0,5.0,86.0,1.4000000000000001,True
6,1,2,22.0,1.0,6.5,93.0,1.4300000000000002,True
5,2,2,14.0,2.0,6.5,94.0,1.82,True
6,2,1,22.0,2.0,5.0,115.0,2.2,True
5,2,3,14.0,2.0,8.0,120.0,2.24,True
6,2,2,22.0,2.0,6.5,123.0,2.8600000000000003,True
6,2,3,22.0,2.0,8.0,149.0,3.52,True
7,2,2,32.0,2.0,6.5,158.0,4.16,True
7,2,3,32.0,2.0,8.0,184.0,5.12,True
8,2,2,46.0,2.0,6.5,199.0,5.98,True
8,2,3,46.0,2.0,8.0,225.0,7.36,True
9,2,2,63.0,2.0,6.5,246.0,8.19,True
8,2,4,46.0,2.0,9.5,269.0,8.74,True
9,2,3,63.0,2.0,8.0,272.0,10.08,True
10,2,2,85.0,2.0,6.5,299.0,11.05,True
9,2,4,63.0,2.0,9.5,316.0,11.97,True
9,3,2,63.0,3.0,6.5,321.0,12.285,True
10,2,3,85.0,2.0,8.0,325.0,13.6,True
9,3,3,63.0,3.0,8.0,347.0,15.120000000000001,True
10,2,4,85.0,2.0,9.5,369.0,16.15,True
10,3,2,85.0,3.0,6.5,374.0,16.575,True
11,2,3,113.0,2.0,8.0,386.0,18.080000000000002,True
10,3,3,85.0,3.0,8.0,400.0,20.400000000000002,True
11,2,4,113.0,2.0,9.5,430.0,21.47,True
11,3,2,113.0,3.0,6.5,435.0,22.035,True
10,3,4,85.0,3.0,9.5,444.0,24.225,True
11,3,3,113.0,3.0,8.0,461.0,27.12,True
12,2,4,148.0,2.0,9.5,501.0,28.12,True
11,3,4,113.0,3.0,9.5,505.0,32.205,True
12,3,3,148.0,3.0,8.0,532.0,35.52,True
11,3,5,113.0,3.0,11.0,567.0,37.29,True
12,3,4,148.0,3.0,9.5,576.0,42.18,True
13,3,3,191.0,3.0,8.0,616.0,45.84,True
12,3,5,148.0,3.0,11.0,638.0,48.84,True
13,3,4,191.0,3.0,9.5,660.0,54.435,True
14,3,3,244.0,3.0,8.0,716.0,58.56,True
13,3,5,191.0,3.0,11.0,722.0,63.03,True
14,3,4,244.0,3.0,9.5,760.0,69.54,True
13,3,6,191.0,3.0,12.5,802.0,71.625,True
13,4,4,191.0,4.0,9.5,810.0,72.58,True
14,3,5,244.0,3.0,11.0,822.0,80.52,True
13,4,5,191.0,4.0,11.0,872.0,84.04,True
15,3,4,309.0,3.0,9.5,880.0,88.065,True
14,3,6,244.0,3.0,12.5,902.0,91.5,True
14,4,4,244.0,4.0,9.5,910.0,92.72,True
15,3,5,309.0,3.0,11.0,942.0,101.97,True
14,4,5,244.0,4.0,11.0,972.0,107.36,True
15,3,6,309.0,3.0,12.5,1022.0,115.875,True
15,4,4,309.0,4.0,9.5,1030.0,117.42,True
14,4,6,244.0,4.0,12.5,1052.0,122.0,True
16,3,5,387.0,3.0,11.0,1086.0,127.71,True
15,4,5,309.0,4.0,11.0,1092.0,135.96,True
14,4,7,244.0,4.0,14.0,1150.0,136.64000000000001,True
16,3,6,387.0,3.0,12.5,1166.0,145.125,True
15,4,6,309.0,4.0,12.5,1172.0,154.5,True
16,4,5,387.0,4.0,11.0,1236.0,170.28,True
15,4,7,309.0,4.0,14.0,1270.0,173.04000000000002,True
16,4,6,387.0,4.0,12.5,1316.0,193.5,True
17,4,5,482.0,4.0,11.0,1410.0,212.08,True
16,4,7,387.0,4.0,14.0,1414.0,216.72000000000003,True
17,4,6,482.0,4.0,12.5,1490.0,241.0,True
17,4,7,482.0,4.0,14.0,1588.0,269.92,True
18,4,6,596.0,4.0,12.5,1700.0,298.0,True
17,4,8,482.0,4.0,15.5,1704.0,298.84,True
18,4,7,596.0,4.0,14.0,1798.0,333.76000000000005,True
18,4,8,596.0,4.0,15.5,1914.0,369.52,True
18,4,9,596.0,4.0,17.0,2048.0,405.28000000000003,True
19,4,7,733.0,4.0,14.0,2050.0,410.48,True
19,4,8,733.0,4.0,15.5,2166.0,454.46,True
19,4,9,733.0,4.0,17.0,2300.0,498.44000000000005,True
20,4,7,898.0,4.0,14.0,2352.0,502.88000000000005,True
18,5,9,596.0,5.0,17.0,2448.0,506.6,True
19,5,7,733.0,5.0,14.0,2450.0,513.1,True
19,4,10,733.0,4.0,18.5,2452.0,542.42,True
20,4,8,898.0,4.0,15.5,2468.0,556.76,True
19,5,8,733.0,5.0,15.5,2566.0,568.075,True
20,4,9,898.0,4.0,17.0,2602.0,610.6400000000001,True
19,5,9,733.0,5.0,17.0,2700.0,623.0500000000001,True
20,5,7,898.0,5.0,14.0,2752.0,628.6,True
20,4,10,898.0,4.0,18.5,2754.0,664.52,True
21,4,8,1094.0,4.0,15.5,2830.0,678.28,True
20,5,8,898.0,5.0,15.5,2868.0,695.95,True
20,4,11,898.0,4.0,20.0,2924.0,718.4000000000001,True
21,4,9,1094.0,4.0,17.0,2964.0,743.9200000000001,True
20,5,9,898.0,5.0,17.0,3002.0,763.3000000000001,True
20,4,12,898.0,4.0,21.5,3112.0,772.28,True
21,4,10,1094.0,4.0,18.5,3116.0,809.56,True
20,5,10,898.0,5.0,18.5,3154.0,830.65,True
21,5,8,1094.0,5.0,15.5,3230.0,847.85,True
21,4,11,1094.0,4.0,20.0,3286.0,875.2,True
20,5,11,898.0,5.0,20.0,3324.0,898.0,True
21,5,9,1094.0,5.0,17.0,3364.0,929.9000000000001,True
21,4,12,1094.0,4.0,21.5,3474.0,940.84,True
20,5,12,898.0,5.0,21.5,3512.0,965.35,True
21,5,10,1094.0,5.0,18.5,3516.0,1011.9499999999999,True
22,5,8,1328.0,5.0,15.5,3664.0,1029.2,True
21,5,11,1094.0,5.0,20.0,3686.0,1094.0,True
22,5,9,1328.0,5.0,17.0,3798.0,1128.8000000000002,True
21,5,12,1094.0,5.0,21.5,3874.0,1176.05,True
22,5,10,1328.0,5.0,18.5,3950.0,1228.4,True
21,5,13,1094.0,5.0,23.0,4080.0,1258.1000000000001,True
22,5,11,1328.0,5.0,20.0,4120.0,1328.0,True
21,5,14,1094.0,5.0,24.5,4304.0,1340.1499999999999,True
22,5,12,1328.0,5.0,21.5,4308.0,1427.6,True
23,5,10,1607.0,5.0,18.5,4475.0,1486.475,True
22,5,13,1328.0,5.0,23.0,4514.0,1527.2,True
23,5,11,1607.0,5.0,20.0,4645.0,1607.0,True
22,5,14,1328.0,5.0,24.5,4738.0,1626.8,True
23,5,12,1607.0,5.0,21.5,4833.0,1727.5249999999999,True
23,5,13,1607.0,5.0,23.0,5039.0,1848.0500000000002,True
23,5,14,1607.0,5.0,24.5,5263.0,1968.575,True
24,5,12,1937.0,5.0,21.5,5469.0,2082.275,True
23,5,15,1607.0,5.0,26.0,5505.0,2089.1,True
24,5,13,1937.0,5.0,23.0,5675.0,2227.55,True
24,5,14,1937.0,5.0,24.5,5899.0,2372.825,True
24,5,15,1937.0,5.0,26.0,6141.0,2518.1,True
24,5,16,1937.0,5.0,27.5,6401.0,2663.375,True
25,5,13,2329.0,5.0,23.0,6442.0,2678.35,True
25,5,14,2329.0,5.0,24.5,6666.0,2853.025,True
25,5,15,2329.0,5.0,26.0,6908.0,3027.7000000000003,True
25,5,16,2329.0,5.0,27.5,7168.0,3202.3750000000005,True
26,5,13,2794.0,5.0,23.0,7365.0,3213.1000000000004,True
26,5,14,2794.0,5.0,24.5,7589.0,3422.65,True
26,5,15,2794.0,5.0,26.0,7831.0,3632.2000000000003,True
26,5,16,2794.0,5.0,27.5,8091.0,3841.7500000000005,True
27,5,13,3342.0,5.0,23.0,8474.0,3843.3,True
27,5,14,3342.0,5.0,24.5,8698.0,4093.95,True
27,5,15,3342.0,5.0,26.0,8940.0,4344.6,True
27,5,16,3342.0,5.0,27.5,9200.0,4595.25,True
28,5,14,3990.0,5.0,24.5,9993.0,4887.75,True
28,5,15,3990.0,5.0,26.0,10235.0,5187.0,True
28,5,16,3990.0,5.0,27.5,10495.0,5486.25,True
29,5,14,4755.0,5.0,24.5,11514.0,5824.875,True
29,5,15,4755.0,5.0,26.0,11756.0,6181.5,True
29,5,16,4755.0,5.0,27.5,12016.0,6538.125000000001,True
30,5,14,5655.0,5.0,24.5,13301.0,6927.375,True
30,5,15,5655.0,5.0,26.0,13543.0,7351.5,True
30,5,16,5655.0,5.0,27.5,13803.0,7775.625000000001,True
31,5,14,6715.0,5.0,24.5,15404.0,8225.875,True
31,5,15,6715.0,5.0,26.0,15646.0,8729.5,True
31,5,16,6715.0,5.0,27.5,15906.0,9233.125,True
32,5,14,7961.0,5.0,24.5,17873.0,9752.225,True
32,5,15,7961.0,5.0,26.0,18115.0,10349.300000000001,True
32,5,16,7961.0,5.0,27.5,18375.0,10946.375,True
